"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"scverse/scanpy","https://github.com/scverse/scanpy","scanpy","scverse","Single-cell analysis in Python. Scales to >100M cells.","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",2551,2058,"1/29/17 11:31","8/31/26 22:53","1/29/17 11:28","8/28/26 12:13",114.91,"machine-learning","true","true"
"PizzaDeDados/datascience-pizza","https://github.com/PizzaDeDados/datascience-pizza","datascience-pizza","PizzaDeDados","🍕 Repositório para juntar informações sobre materiais de estudo em análise de dados e áreas afins, empresas que trabalham com dados e dicionário de conceitos","","MPL-2.0","Mozilla Public License 2.0","true",2456,110,"7/18/17 20:37","9/2/26 11:49","7/18/17 20:39","2/27/22 18:10",55.32,"machine-learning","true","true"
"modAL-python/modAL","https://github.com/modAL-python/modAL","modAL","modAL-python","A modular active learning framework for Python","Python","MIT","MIT License","true",2363,150,"11/14/17 14:01","8/28/26 14:04","11/14/17 14:01","6/1/23 12:18",66.49,"machine-learning","true","true"
"JasonKessler/scattertext","https://github.com/JasonKessler/scattertext","scattertext","JasonKessler","Beautiful visualizations of how language differs among document types.","Python","Apache-2.0","Apache License 2.0","true",2341,103,"7/21/16 1:47","8/29/26 20:51","7/21/16 1:47","7/4/26 21:25",119.42,"machine-learning","true","true"
"salesforce/TransmogrifAI","https://github.com/salesforce/TransmogrifAI","TransmogrifAI","salesforce","TransmogrifAI (pronounced trăns-mŏgˈrə-fī) is an AutoML library for building modular, reusable, strongly typed machine learning workflows on Apache Spark with minimal hand-tuning","Scala","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",2277,144,"11/2/17 16:15","8/26/26 4:38","12/1/17 20:09","6/2/26 18:03",101.97,"machine-learning","true","true"
"ermig1979/Simd","https://github.com/ermig1979/Simd","Simd","ermig1979","C++ image processing and machine learning library with using of SIMD: SSE, AVX, AVX-512, AMX  for x86/x64, NEON, SVE for ARM, HVX for Hexagon","C++","MIT","MIT License","true",2266,256,"3/25/15 15:24","9/2/26 11:44","2/1/13 12:21","9/2/26 11:40",162.94,"machine-learning","true","true"
"aws/sagemaker-python-sdk","https://github.com/aws/sagemaker-python-sdk","sagemaker-python-sdk","aws","A library for training and deploying machine learning models on Amazon SageMaker","Python","Apache-2.0","Apache License 2.0","true",2261,1718,"11/14/17 1:03","9/2/26 3:27","11/30/17 5:59","9/2/26 3:27",105.03,"machine-learning","true","true"
"DerwenAI/pytextrank","https://github.com/DerwenAI/pytextrank","pytextrank","DerwenAI","Python implementation of TextRank algorithms (""textgraphs"") for phrase extraction","Python","MIT","MIT License","true",2219,102,"10/2/16 18:39","9/1/26 23:12","10/2/16 18:39","5/21/24 15:42",91.56,"machine-learning","true","true"
"unrealcv/unrealcv","https://github.com/unrealcv/unrealcv","unrealcv","unrealcv","UnrealCV: Connecting Computer Vision to Unreal Engine","Python","MIT","MIT License","true",2209,245,"9/8/16 18:03","8/28/26 17:54","4/27/16 15:10","8/28/26 17:53",124.01,"machine-learning","true","true"
"kubeflow/trainer","https://github.com/kubeflow/trainer","trainer","kubeflow","Distributed AI Model Training and LLM Fine-Tuning on Kubernetes","Go","Apache-2.0","Apache License 2.0","true",2202,1363,"6/28/17 18:38","9/3/26 1:42","6/28/17 18:38","9/1/26 19:31",110.12,"machine-learning","true","true"
"osqp/osqp","https://github.com/osqp/osqp","osqp","osqp","The Operator Splitting QP Solver","C","Apache-2.0","Apache License 2.0","true",2183,390,"9/27/16 3:02","9/1/26 18:30","9/27/16 3:02","11/10/25 12:54",109.43,"machine-learning","true","true"
