"repository","url","name","owner","description","language","input_license_spdx_id","input_license_name","input_license_osi_approved","stars","issues","created_at","input_first_commit_at","input_last_commit_at","input_activity_months","input_ai_ml_match_topics","input_row_number","sample_source_sha256","accessibility_http_status","accessible_at_run","current_visibility","current_private","current_fork","current_archived","current_stars","current_open_issues","current_created_at","current_updated_at","current_license_spdx_id","current_license_name","current_metadata_exception","pre_cutoff","pre_commit_sha","pre_commit_date","pre_tree_sha","pre_tree_truncated","pre_document_paths","pre_D1","pre_C1","pre_C2","pre_C3","pre_C4","pre_C5","pre_C6","pre_C7","pre_score","pre_D1_evidence","pre_C1_evidence","pre_C2_evidence","pre_C3_evidence","pre_C4_evidence","pre_C5_evidence","pre_C6_evidence","pre_C7_evidence","pre_classification_note","pre_version_error","post_cutoff","post_commit_sha","post_commit_date","post_tree_sha","post_tree_truncated","post_document_paths","post_D1","post_C1","post_C2","post_C3","post_C4","post_C5","post_C6","post_C7","post_score","post_D1_evidence","post_C1_evidence","post_C2_evidence","post_C3_evidence","post_C4_evidence","post_C5_evidence","post_C6_evidence","post_C7_evidence","post_classification_note","post_version_error","observation"
"stillwater-sc/universal","https://github.com/stillwater-sc/universal","universal","stillwater-sc","Large collection of number systems providing custom arithmetic for mixed-precision algorithm development and optimization for AI, Machine Learning, Computer Vision, Signal Processing, CAE, EDA, control, optimization, estimation, and approximation.","C++","MIT","MIT License","true","501","577","2017-05-01T20:13:06Z","2017-05-01T20:13:06Z","2026-09-23T00:28:27Z","112.72","artificial-intelligence","39","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","501","12","2017-05-01T20:13:06Z","2026-09-23T00:28:31Z","MIT","MIT License","","2018-05-24T23:59:59Z","0cca31fa0465eb26e146dd763a9f14dea6617e1e","2018-05-15T21:56:12Z","28f12c11ed0c76178854f19e169bb5d334a07d4f","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","ee4032d7b53f6e0fa7586303d470ab62243764c8","2026-06-30T20:31:55Z","8201c271b3ff208e160e25b7157c877e3f5ff331","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"tensorflow/tensorflow","https://github.com/tensorflow/tensorflow","tensorflow","tensorflow","An Open Source Machine Learning Framework for Everyone","C++","Apache-2.0","Apache License 2.0","true","200260","41794","2015-11-07T01:19:20Z","2015-11-07T00:27:58Z","2026-09-21T19:11:06Z","130.48","deep-learning; machine-learning; neural-network","40","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","200260","3316","2015-11-07T01:19:20Z","2026-09-23T00:18:07Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","9532bbbf994df5de1fa6550f3cf9f4dc08fcd640","2018-05-24T23:56:09Z","8fc557a0e618de844f088882fd3c29f622c06c13","FALSE","README.md; SECURITY.md; tensorflow/docs_src/community/security.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","7bcebf77a9b42f0bbfeb111015a2a76881bf050c","2026-06-30T23:28:43Z","0c955549f4d9496750d8f9a109343ce4b681d827","FALSE","README.md; SECURITY.md; tensorflow/compiler/mlir/tosa/g3doc/legalization.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"opencv/opencv","https://github.com/opencv/opencv","opencv","opencv","Open Source Computer Vision Library","C++","Apache-2.0","Apache License 2.0","true","90931","11690","2012-07-19T09:40:17Z","2010-05-11T17:44:00Z","2026-09-22T10:12:36Z","196.38","deep-learning; computer-vision; image-processing","41","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","90932","2772","2012-07-19T09:40:17Z","2026-09-23T01:23:40Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","0a6d1900956b5ef4713dd6df1eaf763697572851","2018-05-24T18:30:09Z","03e49c9b13ac07e990734c3662beca136628cf46","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","d36133b325a5413c3f519379fce289599e7c1674","2026-06-30T11:19:32Z","b6bde423c66ac2c6b9dcdf5c2c7d972fc7e681d8","FALSE","README.md; SECURITY.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"keras-team/keras","https://github.com/keras-team/keras","keras","keras-team","Deep Learning for humans","Python","Apache-2.0","Apache License 2.0","true","64330","12933","2015-03-28T00:35:42Z","2015-03-28T00:35:42Z","2026-09-22T04:21:24Z","137.85","deep-learning; machine-learning","42","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","64330","236","2015-03-28T00:35:42Z","2026-09-23T00:45:12Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","5eecd55a6f1d6d149b42f9b76aa53d4c5ab8d3eb","2018-05-24T20:54:20Z","a2dc4af3fad6d1f5375f8804bc4d9bf1dd4bd4be","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","ea6968a88ca22418a40b0897e81715718e11fb5c","2026-06-30T03:44:57Z","7f576adf410a12f7b7b5db077859a0c0df4d6a9b","FALSE","README.md; .github/workflows/pr-contributor-terms.yml; SECURITY.md","1","0","0","0","0","0","0","1","1","sha=ea6968a88ca22418a40b0897e81715718e11fb5c; file=SECURITY.md; text=Verification: Run tooling that identifies potential script injections (e.g. ### Data privacy To protect sensitive data from potential leaks or unauthorized access, it is essential to sandbox the model execution. This means running the model in a secure, isolated environment, which helps mitigate many attack vectors. When training the model with sensitive data, expose your newly-trained model to tests to identify potential sensitive data leaks.","","","","","","","sha=ea6968a88ca22418a40b0897e81715718e11fb5c; file=SECURITY.md; text=Verification: Run tooling that identifies potential script injections (e.g. ### Data privacy To protect sensitive data from potential leaks or unauthorized access, it is essential to sandbox the model execution. This means running the model in a secure, isolated environment, which helps mitigate many attack vectors. When training the model with sensitive data, expose your newly-trained model to tests to identify potential sensitive data leaks.","Classificação semantic-conservative-2026-09-c1-c4 por evidência textual contextualizada.","","par completo processado"
"deepfakes/faceswap","https://github.com/deepfakes/faceswap","faceswap","deepfakes","Deepfakes Software For All","Python","GPL-3.0","GNU General Public License v3.0","true","57552","909","2017-12-19T09:44:13Z","2017-12-15T11:47:32Z","2026-08-05T11:39:25Z","103.65","deep-learning; machine-learning","43","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","57552","15","2017-12-19T09:44:13Z","2026-09-22T17:46:53Z","GPL-3.0","GNU General Public License v3.0","","2018-05-24T23:59:59Z","8d9de4c205e149d35bc607f422b6ab88bf898680","2018-05-18T23:49:12Z","3fb313b53bfdf5d868a4fdfb490bdb3e35099600","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","acdcfa8796c26d47e3610efeae102c9d87b2ad89","2026-06-24T10:08:45Z","2f4159dc994ac4e36d06bfe91ed6287c4d53dd77","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"ray-project/ray","https://github.com/ray-project/ray","ray","ray-project","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.","Python","Apache-2.0","Apache License 2.0","true","43900","23092","2016-10-25T19:38:30Z","2016-02-07T22:18:40Z","2026-09-23T00:25:47Z","127.47","deep-learning; machine-learning; reinforcement-learning; large-language-models; llm","44","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","43900","3594","2016-10-25T19:38:30Z","2026-09-23T00:46:57Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","3509a33cf37132a4bca5c7e3bdabb091ea1b8ece","2018-05-24T07:32:12Z","4c664ad5a502ce4dc8a5eda59f1cacfc49352b9c","FALSE","README.rst","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","6da271970a121342112bfb966b9ced5f59ccf6e6","2026-06-30T22:59:30Z","3de56241fde3bb4aa29c402623a944aa1cdfb2b6","FALSE","README.rst; .claude/rules/security.md; python/ray/autoscaler/aws/example-head-and-worker-security-group.yaml; python/ray/autoscaler/aws/example-security-group.yaml; python/requirements/security-requirements.txt; SECURITY.md; doc/source/ray-security/index.md; doc/source/ray-security/token-auth.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"naptha/tesseract.js","https://github.com/naptha/tesseract.js","tesseract.js","naptha","Pure Javascript OCR for more than 100 Languages 📖🎉🖥","JavaScript","Apache-2.0","Apache License 2.0","true","38730","742","2015-06-24T02:49:52Z","2015-06-26T21:54:30Z","2026-05-17T01:37:38Z","130.66","deep-learning","45","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","38730","53","2015-06-24T02:49:52Z","2026-09-22T05:39:21Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","fbe920d66eda8829fab6323a49fb22e8d0251dc9","2018-05-12T00:17:35Z","bf12c75c615aaecc8b2e20cbb07a842ca4cb1dfa","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","a1ca80d9e31c34512d0ded75ff8821ddcf3f2f91","2026-05-17T01:37:38Z","941c760847e85711142ae547c5a42eaef6256940","FALSE","README.md; .github/SECURITY.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"lutzroeder/netron","https://github.com/lutzroeder/netron","netron","lutzroeder","Visualizer for neural network, deep learning and machine learning models","JavaScript","MIT","MIT License","true","33509","1275","2010-12-26T12:53:43Z","2010-12-26T12:55:07Z","2026-09-22T12:03:11Z","188.86","deep-learning; machine-learning; neural-network","46","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","33509","18","2010-12-26T12:53:43Z","2026-09-23T01:01:38Z","MIT","MIT License","","2018-05-24T23:59:59Z","473060aae11ec42d3439b6bb72c022a738bc5fc1","2018-05-24T02:39:18Z","dce1a4bd6a44e6e3cb8fb80936bf4d3bf80b66a1","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","afb623792740828b1fd86494b5dc14e88a83d182","2026-06-30T14:46:00Z","dc3a3713e75b87d57cf91e05eb1ef3d0553206d4","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"yunjey/pytorch-tutorial","https://github.com/yunjey/pytorch-tutorial","pytorch-tutorial","yunjey","PyTorch Tutorial for Deep Learning Researchers","Python","MIT","MIT License","true","32496","181","2017-03-10T07:41:47Z","2017-03-10T07:41:47Z","2020-07-06T03:36:38Z","39.88","deep-learning","47","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","32497","89","2017-03-10T07:41:47Z","2026-09-23T01:32:29Z","MIT","MIT License","","2018-05-24T23:59:59Z","99271737fba3f75720db37c83c19787e22d00869","2018-05-15T13:47:21Z","fa2fedd940b28f58f6fc0f424b39f8c89ae8a9db","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","0500d3df5a2a8080ccfccbc00aca0eacc21818db","2020-07-06T03:36:38Z","974b700e99ddd627481b6a65e5e5449aba79f8b0","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"shap/shap","https://github.com/shap/shap","shap","shap","A game theoretic approach to explain the output of any machine learning model.","Jupyter Notebook","MIT","MIT License","true","25773","2850","2016-11-22T19:17:08Z","2016-11-22T21:44:11Z","2026-09-21T18:23:25Z","117.93","deep-learning; machine-learning","48","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","25773","984","2016-11-22T19:17:08Z","2026-09-22T13:20:14Z","MIT","MIT License","","2018-05-24T23:59:59Z","7f95ae87e6c4b347effb2bda729e47ecd8796c3b","2018-05-22T18:37:38Z","a92bcd002e8ff24e41bcb078fc90de0b75cf1aed","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Menções isoladas a privacy/GDPR sem contexto semântico suficiente foram classificadas como 0.","","2026-06-30T23:59:59Z","e6dd1f5b36abad4f6e77abeca6218980dd378762","2026-06-29T14:33:19Z","c83063d5c08ed25bdedd363b12e55d70f39b0616","FALSE","README.md; docs/user_studies/sickness_scores/templates/consent.html","1","0","0","0","0","0","1","0","1","sha=e6dd1f5b36abad4f6e77abeca6218980dd378762; file=docs/user_studies/sickness_scores/templates/consent.html; text=You have been invited to take part in research designed to compare different ways of explaining computer predictions. Aggregate information about your responses will be shared publically, and while we will make no attempt to identify worker identities we cannot guarantee the privacy of your responses.","","","","","","sha=e6dd1f5b36abad4f6e77abeca6218980dd378762; file=docs/user_studies/sickness_scores/templates/consent.html; text=You have been invited to take part in research designed to compare different ways of explaining computer predictions. Aggregate information about your responses will be shared publically, and while we will make no attempt to identify worker identities we cannot guarantee the privacy of your responses.","","Classificação semantic-conservative-2026-09-c1-c4 por evidência textual contextualizada.","","par completo processado"
"ageron/handson-ml","https://github.com/ageron/handson-ml","handson-ml","ageron","⛔️ DEPRECATED – See https://github.com/ageron/handson-ml3 or handson-mlp instead.","Jupyter Notebook","Apache-2.0","Apache License 2.0","true","25609","563","2016-02-16T19:48:39Z","2016-02-16T19:48:39Z","2026-05-19T23:03:11Z","123.03","deep-learning; machine-learning; neural-network","49","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","25609","145","2016-02-16T19:48:39Z","2026-09-22T20:03:16Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","51b12887938bb15f05969bde10629c175ffbbb8d","2018-05-18T19:22:56Z","05acbf5a60174ca80a7f4006d25742765120c4d7","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","b7051594afbb1d835f5e031af8664c4363878050","2026-05-19T23:03:11Z","a472ab5511c44b5ec8c4d7f748ab8ae0fae7f11d","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"PaddlePaddle/Paddle","https://github.com/PaddlePaddle/Paddle","Paddle","PaddlePaddle","PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice （『飞桨』核心框架，深度学习&机器学习高性能单机、分布式训练和跨平台部署）","C++","Apache-2.0","Apache License 2.0","true","24102","19354","2016-08-15T06:59:08Z","2016-08-29T14:32:53Z","2026-09-22T09:52:15Z","120.76","deep-learning; machine-learning; neural-network","50","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","24102","1482","2016-08-15T06:59:08Z","2026-09-22T09:52:23Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","0a135de541e9bccbbd23bfdaba403bff329421d1","2018-05-24T21:59:45Z","0eba9510d289efb62e79b56d088b90f5ed5f15a9","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","529fbc7139f44da6c0046c5aa99959d1aa43c9d4","2026-06-30T03:03:14Z","d3264e679233d29cc02001e359309b0e2b6a7913","FALSE","README.md; SECURITY_cn.md; SECURITY_ja.md; SECURITY.md","1","0","0","0","0","0","0","1","1","sha=529fbc7139f44da6c0046c5aa99959d1aa43c9d4; file=SECURITY.md; text=## PaddlePaddle Model Security PaddlePaddle attaches great importance to security and privacy of model. This includes how to prevent the model from outputting wrong decision results under the interference when it is used in security-related and safety-critical scenarios, and how to avoid leaking data and privacy information from the model itself, the model gradient or the model inference results. These tools include adversarial example evaluation test, pseudo-natural environment robustness evaluation test, model reversing evaluation test, member inference evaluation test, sample denoising, adversarial training, privacy enhancement optimizer,","","","","","","","sha=529fbc7139f44da6c0046c5aa99959d1aa43c9d4; file=SECURITY.md; text=## PaddlePaddle Model Security PaddlePaddle attaches great importance to security and privacy of model. This includes how to prevent the model from outputting wrong decision results under the interference when it is used in security-related and safety-critical scenarios, and how to avoid leaking data and privacy information from the model itself, the model gradient or the model inference results. These tools include adversarial example evaluation test, pseudo-natural environment robustness evaluation test, model reversing evaluation test, member inference evaluation test, sample denoising, adversarial training, privacy enhancement optimizer,","Classificação semantic-conservative-2026-09-c1-c4 por evidência textual contextualizada.","","par completo processado"
"pyg-team/pytorch_geometric","https://github.com/pyg-team/pytorch_geometric","pytorch_geometric","pyg-team","Graph Neural Network Library for PyTorch","Python","MIT","MIT License","true","24098","3754","2017-10-06T16:03:03Z","2017-10-06T16:03:56Z","2026-09-01T23:22:41Z","106.84","deep-learning","51","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","24098","1345","2017-10-06T16:03:03Z","2026-09-22T02:02:06Z","MIT","MIT License","","2018-05-24T23:59:59Z","7f3877c097240f0eb1caa51c1acf1bf8e6366629","2018-05-24T18:36:19Z","ccf53fd8158f3fe2f053da37abdfa204de6fd089","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","1f0661ce88272d03f654b6bb0a2a3cb76b3e6aff","2026-06-19T00:13:08Z","74a5bf18012962ab9de82801ae9929d584eae66e","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"tensorflow/tfjs","https://github.com/tensorflow/tfjs","tfjs","tensorflow","A WebGL accelerated JavaScript library for training and deploying ML models.","TypeScript","Apache-2.0","Apache License 2.0","true","19142","4328","2018-03-05T05:41:02Z","2017-08-03T17:45:13Z","2026-04-06T16:18:15Z","104.07","deep-learning; machine-learning; deep-neural-network; neural-network","52","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","19142","383","2018-03-05T05:41:02Z","2026-09-22T13:43:04Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","d457315b29dca301dd7d21fc4d9600e03d80a936","2018-05-24T21:58:19Z","42322084612f1c85e0907fadffe9c7934a708b96","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","7f5309fef0a47545e34049903dbdae0f97285f7e","2026-04-06T16:18:15Z","052cdc4fcbb4ecc9312963e2d5ee8f2d66e71eaf","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"wkentaro/labelme","https://github.com/wkentaro/labelme","labelme","wkentaro","Image annotation with Python. Supports polygon, rectangle, circle, line, point, and AI-assisted annotation.","Python","GPL-3.0","GNU General Public License v3.0","true","16185","986","2016-05-09T12:30:26Z","2011-09-28T22:55:04Z","2026-09-18T07:59:23Z","179.64","deep-learning; computer-vision","53","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","16185","166","2016-05-09T12:30:26Z","2026-09-22T21:51:10Z","GPL-3.0","GNU General Public License v3.0","","2018-05-24T23:59:59Z","1d3208994c67ba9452c7d1bbb7528e8c54be17d5","2018-05-13T14:33:00Z","cea03c6967e7bbf9f728147d846d4730d42cbb69","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","e5b78403865e5130446833080469e0ef86c28ad7","2026-06-30T15:26:58Z","5d8a627bf34c4412325a26c8885c04717afac271","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"cmusatyalab/openface","https://github.com/cmusatyalab/openface","openface","cmusatyalab","Face recognition with deep neural networks.","Lua","Apache-2.0","Apache License 2.0","true","15440","383","2015-09-16T12:47:27Z","2015-09-18T20:57:25Z","2026-07-18T15:27:00Z","129.95","deep-learning","54","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","15440","2","2015-09-16T12:47:27Z","2026-09-22T21:18:04Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","bb377aac51b9ac335b6e5be3098fca4ecc815b71","2018-03-02T00:03:55Z","603563c7e260ee3ca2f771bea30a3316ec208745","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","051475225b5ae335918621077313085bbb7ab5a0","2024-10-04T12:58:31Z","f3397bb1e7678042d8d9c7b2371ce00b6429a951","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"aleju/imgaug","https://github.com/aleju/imgaug","imgaug","aleju","Image augmentation for machine learning experiments.","Python","MIT","MIT License","true","14741","518","2015-07-10T20:31:33Z","2015-07-10T20:31:34Z","2020-06-01T14:58:26Z","58.73","deep-learning; machine-learning","55","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","14741","310","2015-07-10T20:31:33Z","2026-09-22T20:06:42Z","MIT","MIT License","","2018-05-24T23:59:59Z","46811248abc7bbcedb2a3c55f4ec9c2b21176e44","2018-05-24T16:46:51Z","bfe69c0a5704b826ce6bae72dfd690744c41bed3","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","0101108d4fed06bc5056c4a03e2bcb0216dac326","2020-06-01T14:58:26Z","e92b0ca13121a8312eea3344fec9a61b8135b522","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"davisking/dlib","https://github.com/davisking/dlib","dlib","davisking","A toolkit for making real world machine learning and data analysis applications in C++","C++","BSL-1.0","Boost Software License 1.0","true","14445","2245","2014-01-29T00:45:33Z","2008-05-02T14:15:48Z","2026-08-11T03:03:28Z","219.27","deep-learning; machine-learning; computer-vision","56","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","14445","40","2014-01-29T00:45:33Z","2026-09-20T09:42:18Z","BSL-1.0","Boost Software License 1.0","","2018-05-24T23:59:59Z","f82aa1beed60f179866e76114e997b116a75df1f","2018-05-24T17:20:17Z","51a5e94d6f9e43ba9beb100e17c50c005996d2a1","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","cf82c2ca8df36c3f456d815fdc0c5404b1e6a0ef","2026-06-28T00:43:57Z","d7a934aefd2a2efdb0b4f49c21baf08977b32ccf","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"jindongwang/transferlearning","https://github.com/jindongwang/transferlearning","transferlearning","jindongwang","Transfer learning / domain adaptation / domain generalization / multi-task learning etc. Papers, codes, datasets, applications, tutorials.-迁移学习","Python","MIT","MIT License","true","14360","349","2017-04-30T11:32:21Z","2017-07-03T06:49:01Z","2026-02-09T16:27:22Z","103.27","deep-learning; machine-learning","57","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","14360","24","2017-04-30T11:32:21Z","2026-09-22T19:53:11Z","MIT","MIT License","","2018-05-24T23:59:59Z","6866935a541258d8a331202b1c1f87b17e16b4b6","2018-05-24T12:23:29Z","08dbdcd64d762623b3b5ba4881d64f01aa5195df","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","d77ef50a2e7ecdd4f3354148205666970ba809b6","2026-02-09T16:27:22Z","1f1731eddd2ee56aedbce7514278c15ef44d36ae","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","par completo processado"
"dmlc/dgl","https://github.com/dmlc/dgl","dgl","dmlc","Python package built to ease deep learning on graph, on top of existing DL frameworks.","Python","Apache-2.0","Apache License 2.0","true","14284","2828","2018-04-20T14:49:09Z","2018-04-20T14:46:32Z","2025-07-31T23:53:10Z","87.36","deep-learning","58","ac77dbe70022b479af11f38dbc689b7e6691863f03f9c58a94ae8d9285243bf2","200","TRUE","public","FALSE","FALSE","FALSE","14284","610","2018-04-20T14:49:09Z","2026-09-22T02:02:07Z","Apache-2.0","Apache License 2.0","","2018-05-24T23:59:59Z","75a43e4afd30734511a536c6146741d689f46ce1","2018-05-11T04:28:59Z","7ba58d2689c76796e4cd52afb0481d6096aebe7d","FALSE","","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","2026-06-30T23:59:59Z","3d16000b4170fa741ed9e9667f22ba84d3493026","2025-07-31T23:53:10Z","1f7a1fab4606c35220d90da26dcdffb142bb133c","FALSE","README.md","0","0","0","0","0","0","0","0","0","","","","","","","","","Nenhuma evidência semântica suficiente encontrada nos documentos candidatos.","","pre: nenhum documento candidato recuperado"
