"repository","url","name","owner","description","language","license_spdx_id","license_name","license_osi_approved","stars","issues","created_at","updated_at","first_commit_at","last_commit_at","activity_months","ai_ml_match_topics","has_pre_gdpr_activity","has_post_gdpr_activity"
"pqina/filepond","https://github.com/pqina/filepond","filepond","pqina","🌊 A flexible and fun JavaScript file upload library","JavaScript","MIT","MIT License","true",16394,881,"2017-10-09T12:17:44Z","2026-09-26T02:24:31Z","2017-10-20T12:48:25Z","2026-07-13T11:37:16Z",104.73,"image-processing","true","true"
"fengyuanchen/cropperjs","https://github.com/fengyuanchen/cropperjs","cropperjs","fengyuanchen","JavaScript image cropper.","TypeScript","MIT","MIT License","true",13905,1061,"2015-09-25T10:57:53Z","2026-09-25T15:27:16Z","2015-09-18T03:25:07Z","2026-09-11T13:18:42Z",131.78,"image-processing","true","true"
"libvips/libvips","https://github.com/libvips/libvips","libvips","libvips","A fast image processing library with low memory needs.","C","LGPL-2.1","GNU Lesser General Public License v2.1","true",11675,2546,"2011-01-25T13:15:00Z","2026-09-25T22:05:37Z","2007-08-29T16:23:50Z","2026-09-25T22:05:26Z",228.88,"image-processing","true","true"
"imgproxy/imgproxy","https://github.com/imgproxy/imgproxy","imgproxy","imgproxy","Fast and secure standalone server for resizing, processing, and converting images on the fly","Go","Apache-2.0","Apache License 2.0","true",11096,716,"2017-06-20T13:58:55Z","2026-09-25T12:02:17Z","2017-06-20T14:00:17Z","2026-09-23T16:00:49Z",111.11,"image-processing","true","true"
"wasabeef/glide-transformations","https://github.com/wasabeef/glide-transformations","glide-transformations","wasabeef","An Android transformation library providing a variety of image transformations for Glide.","Java","Apache-2.0","Apache License 2.0","true",9882,158,"2015-01-09T10:33:29Z","2026-09-15T08:54:04Z","2015-01-09T10:33:29Z","2021-05-10T04:28:36Z",75.98,"image-processing","true","true"
"hardikvasa/google-images-download","https://github.com/hardikvasa/google-images-download","google-images-download","hardikvasa","Python Script to download hundreds of images from 'Google Images'. It is a ready-to-run code!","Python","MIT","MIT License","true",8688,288,"2015-03-28T16:50:28Z","2026-09-25T11:50:23Z","2015-03-28T16:50:28Z","2026-05-18T05:29:54Z",133.66,"image-processing","true","true"
"h2non/imaginary","https://github.com/h2non/imaginary","imaginary","h2non","Fast, simple, scalable, Docker-ready HTTP microservice for high-level image processing","Go","MIT","MIT License","true",6080,287,"2015-03-04T18:51:40Z","2026-09-24T19:34:05Z","2015-03-08T23:02:33Z","2025-11-08T19:49:48Z",128.05,"image-processing","true","true"
"wasabeef/Blurry","https://github.com/wasabeef/Blurry","Blurry","wasabeef","Blurry is an easy blur library for Android","Java","Apache-2.0","Apache License 2.0","true",5650,106,"2015-07-23T14:12:08Z","2026-09-21T02:56:56Z","2015-07-23T14:12:08Z","2021-12-13T06:26:44Z",76.7,"image-processing","true","true"
"coobird/thumbnailator","https://github.com/coobird/thumbnailator","thumbnailator","coobird","Thumbnailator - a thumbnail generation library for Java","Java","MIT","MIT License","true",5431,221,"2015-07-25T05:38:33Z","2026-09-21T11:48:16Z","2010-09-22T04:08:47Z","2026-02-17T17:48:14Z",184.87,"image-processing","true","true"
"hpjansson/chafa","https://github.com/hpjansson/chafa","chafa","hpjansson","📺🗿 Terminal graphics for the 21st century.","C","LGPL-3.0","GNU Lesser General Public License v3.0","true",5276,251,"2018-04-24T19:57:55Z","2026-09-26T01:23:41Z","2018-02-25T22:41:01Z","2026-09-25T19:10:59Z",102.95,"image-processing","true","true"
"Breakthrough/PySceneDetect","https://github.com/Breakthrough/PySceneDetect","PySceneDetect","Breakthrough",":movie_camera: Python and OpenCV-based scene cut/transition detection program & library.","Python","BSD-3-Clause","BSD 3-Clause ""New"" or ""Revised"" License","true",5200,393,"2014-06-04T04:43:21Z","2026-09-25T20:26:00Z","2014-06-04T04:43:21Z","2026-09-21T04:43:46Z",147.57,"image-processing","true","true"
"TimOliver/TOCropViewController","https://github.com/TimOliver/TOCropViewController","TOCropViewController","TimOliver","A view controller for iOS that allows users to crop portions of UIImage objects","Objective-C","MIT","MIT License","true",4948,416,"2015-06-06T22:53:07Z","2026-09-23T20:58:11Z","2015-06-06T22:55:08Z","2026-07-28T15:29:12Z",133.7,"image-processing","true","true"
